[2026-05-11 11:03:49] #0001/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 16:58:32] #0820/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.216 | conf=0.700 | gap=0.650
[2026-05-11 16:59:09] #0821/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 16:59:26] #0822/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:00:03] #0823/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 17:00:29] #0824/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.326 | conf=0.700 | gap=0.630
[2026-05-11 17:00:57] #0825/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.593 | conf=0.850 | gap=0.770
[2026-05-11 17:01:16] #0826/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 17:02:03] #0827/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.905 | conf=0.700 | gap=0.500
[2026-05-11 17:02:44] #0828/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.799 | conf=0.837 | gap=0.816
[2026-05-11 17:02:58] #0829/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 17:03:36] #0830/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:04:41] #0832/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 17:05:22] #0833/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=1.468 | conf=0.673 | gap=0.596
[2026-05-11 17:09:37] #0834/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 17:19:26] #0832/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:20:01] #0833/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 17:20:38] #0834/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:20:51] #0835/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:21:05] #0836/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 17:21:34] #0837/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 17:22:04] #0838/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 17:22:37] #0839/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.393 | conf=0.700 | gap=0.650
[2026-05-11 17:23:09] #0840/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.466 | conf=0.824 | gap=0.647
[2026-05-11 17:23:41] #0841/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.734 | conf=0.789 | gap=0.684
[2026-05-11 17:24:18] #0842/05607 | true=Lay-stand(6) | pred=Stand(0) | ✗ | ent=0.898 | conf=0.684 | gap=0.474
[2026-05-11 17:24:49] #0843/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.451 | conf=0.833 | gap=0.667
[2026-05-11 17:25:02] #0844/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 17:25:18] #0845/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 17:25:34] #0846/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 17:26:21] #0847/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.596 | conf=0.880 | gap=0.860
[2026-05-11 17:27:05] #0848/05607 | true=Lay-stand(6) | pred=Lay(5) | ✗ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 17:27:17] #0849/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.645 | conf=0.842 | gap=0.789
[2026-05-11 17:27:55] #0850/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.481 | conf=0.686 | gap=0.637
[2026-05-11 17:28:31] #0851/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 17:29:05] #0852/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:29:34] #0853/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.309 | conf=0.667 | gap=0.611
[2026-05-11 17:30:10] #0854/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 17:30:52] #0855/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:31:30] #0856/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.968 | conf=0.720 | gap=0.620
[2026-05-11 17:31:46] #0857/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.349 | conf=0.889 | gap=0.778
[2026-05-11 17:31:58] #0858/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:32:35] #0859/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 17:32:48] #0860/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 17:33:25] #0861/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.480 | conf=0.895 | gap=0.863
[2026-05-11 17:34:15] #0863/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 17:35:25] #0865/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.516 | conf=0.880 | gap=0.820
[2026-05-11 17:36:28] #0867/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.945 | conf=0.750 | gap=0.670
[2026-05-11 17:36:44] #0868/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 17:37:25] #0869/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.516 | conf=0.880 | gap=0.820
[2026-05-11 17:37:39] #0870/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.619 | conf=0.850 | gap=0.790
[2026-05-11 17:38:07] #0871/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 17:38:39] #0872/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.196 | conf=0.720 | gap=0.670
[2026-05-11 17:39:57] #0873/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 17:40:35] #0874/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:40:46] #0875/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:41:21] #0876/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 17:41:37] #0877/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 17:41:52] #0878/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 17:42:46] #0879/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 17:43:26] #0880/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.348 | conf=0.700 | gap=0.650
[2026-05-11 17:44:07] #0881/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 17:44:24] #0882/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 17:44:55] #0883/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.216 | conf=0.700 | gap=0.650
[2026-05-11 17:45:33] #0884/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:46:03] #0885/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:46:20] #0886/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 17:46:35] #0887/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.002 | conf=0.720 | gap=0.620
[2026-05-11 17:47:19] #0888/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 17:48:07] #0890/05607 | true=Lay-stand(6) | pred=Stair-up(15) | ✗ | ent=0.974 | conf=0.667 | gap=0.500
[2026-05-11 17:48:42] #0891/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 17:49:26] #0892/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 17:49:37] #0893/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.927 | conf=0.550 | gap=0.200
[2026-05-11 17:50:18] #0894/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.661 | conf=0.789 | gap=0.684
[2026-05-11 17:51:05] #0895/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:51:18] #0896/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.557 | conf=0.833 | gap=0.722
[2026-05-11 17:51:47] #0897/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.349 | conf=0.889 | gap=0.778
[2026-05-11 17:52:17] #0898/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:52:37] #0899/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.554 | conf=0.880 | gap=0.840
[2026-05-11 17:52:52] #0900/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 17:53:14] #0901/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-11 17:53:46] #0902/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.175 | conf=0.600 | gap=0.450
[2026-05-11 17:54:04] #0903/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.786 | conf=0.783 | gap=0.674
[2026-05-11 17:54:30] #0904/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 17:54:42] #0905/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.140 | conf=0.968 | gap=0.937
[2026-05-11 17:55:12] #0906/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.425 | conf=0.611 | gap=0.556
[2026-05-11 17:55:50] #0907/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
