[2026-05-11 21:51:38] #0002/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 06:40:49] #1573/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.706 conf=0.780 gap=0.630
[2026-05-12 06:41:35] #1575/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 06:41:47] #1577/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 06:41:50] #1578/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 06:41:53] #1579/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.055 conf=0.400 gap=0.000
[2026-05-12 06:43:33] #1584/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 06:44:25] #1588/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.838 conf=0.250 gap=0.050
[2026-05-12 06:44:30] #1589/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:44:38] #1590/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 06:44:44] #1591/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 06:44:56] #1592/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.285 conf=0.420 gap=0.020
[2026-05-12 06:45:16] #1593/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:45:19] #1594/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 06:46:04] #1596/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 06:46:09] #1597/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:46:28] #1599/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 06:47:03] #1602/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.326 conf=0.450 gap=0.100
[2026-05-12 06:47:40] #1604/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.099 conf=0.333 gap=0.000
[2026-05-12 06:48:06] #1606/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:48:20] #1608/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 06:48:50] #1610/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:49:07] #1611/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.424 conf=0.922 gap=0.902
[2026-05-12 06:49:43] #1612/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 06:51:11] #1615/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 06:51:57] #1617/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 06:52:16] #1618/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 06:53:19] #1620/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 06:53:42] #1621/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 06:54:22] #1622/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.448 conf=0.900 gap=0.840
[2026-05-12 06:55:16] #1626/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 06:55:48] #1627/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.275 conf=0.550 gap=0.300
[2026-05-12 06:57:23] #1630/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 06:57:44] #1632/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:57:52] #1633/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 06:58:17] #1635/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:58:29] #1636/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.307 conf=0.450 gap=0.100
[2026-05-12 06:58:42] #1637/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:58:46] #1638/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 06:58:49] #1639/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:59:09] #1640/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:59:13] #1641/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:59:20] #1642/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:59:35] #1644/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 07:00:38] #1648/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 07:00:55] #1650/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.379 conf=0.450 gap=0.100
[2026-05-12 07:01:57] #1652/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 07:02:28] #1654/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:03:10] #1657/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 07:03:30] #1658/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.386 conf=0.250 gap=0.000
[2026-05-12 07:03:45] #1659/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:04:01] #1660/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 07:04:18] #1661/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:04:43] #1663/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:05:15] #1664/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 07:05:35] #1666/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 07:05:49] #1668/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:06:26] #1669/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 07:06:58] #1670/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 07:07:20] #1671/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-12 07:07:51] #1673/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.650 conf=0.850 gap=0.800
[2026-05-12 07:08:18] #1674/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.690 conf=0.850 gap=0.810
[2026-05-12 07:08:21] #1675/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:10:25] #1680/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:11:00] #1683/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.703 conf=0.400 gap=0.250
[2026-05-12 07:11:14] #1684/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:11:26] #1685/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 07:11:37] #1687/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:13:13] #1690/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.085 conf=0.720 gap=0.640
[2026-05-12 07:13:16] #1691/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:13:45] #1693/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.768 conf=0.750 gap=0.550
[2026-05-12 07:14:08] #1695/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:14:52] #1698/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:15:01] #1699/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.118 conf=0.450 gap=0.000
[2026-05-12 07:15:57] #1703/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.178 conf=0.500 gap=0.120
[2026-05-12 07:16:08] #1705/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:17:11] #1710/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:20:26] #1718/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.481 conf=0.900 gap=0.870
[2026-05-12 07:21:23] #1719/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:21:30] #1720/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:21:34] #1721/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:22:43] #1723/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:23:00] #1724/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 07:23:40] #1726/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 07:23:49] #1728/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 07:24:04] #1729/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:24:45] #1730/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:25:03] #1732/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 07:25:29] #1733/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.383 conf=0.550 gap=0.350
[2026-05-12 07:25:44] #1735/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 07:25:56] #1736/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:26:16] #1738/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:26:48] #1741/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.476 conf=0.500 gap=0.250
[2026-05-12 07:26:55] #1742/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:27:05] #1744/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:27:25] #1745/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 07:29:49] #1750/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.055 conf=0.400 gap=0.000
[2026-05-12 07:30:23] #1751/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-12 07:30:30] #1752/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:31:31] #1755/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:32:00] #1756/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:32:59] #1758/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 07:33:02] #1759/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:33:23] #1760/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.865 conf=0.800 gap=0.740
[2026-05-12 07:33:34] #1761/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.020 conf=0.600 gap=0.300
[2026-05-12 07:33:48] #1762/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:33:55] #1763/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:35:37] #1765/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:35:58] #1766/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.005 conf=0.550 gap=0.170
[2026-05-12 07:36:54] #1770/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:37:06] #1771/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 07:37:13] #1772/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 07:37:26] #1773/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:38:04] #1776/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:41:25] #1781/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:41:46] #1782/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 07:41:49] #1783/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.614 conf=0.350 gap=0.000
[2026-05-12 07:41:55] #1784/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:42:44] #1788/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:42:55] #1789/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.414 conf=0.400 gap=0.050
[2026-05-12 07:43:59] #1793/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.602 conf=0.350 gap=0.150
[2026-05-12 07:44:42] #1795/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:44:53] #1796/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.814 conf=0.800 gap=0.700
[2026-05-12 07:45:49] #1798/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:45:52] #1799/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 07:46:13] #1800/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.195 conf=0.680 gap=0.580
[2026-05-12 07:46:22] #1801/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-12 07:46:53] #1803/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:47:23] #1804/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.190 conf=0.650 gap=0.550
[2026-05-12 07:47:47] #1806/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:47:51] #1807/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.609 conf=0.400 gap=0.200
[2026-05-12 07:48:12] #1809/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.591 conf=0.450 gap=0.250
[2026-05-12 07:48:16] #1810/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.554 conf=0.400 gap=0.150
[2026-05-12 07:48:25] #1811/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 07:48:41] #1812/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.017 conf=0.750 gap=0.700
[2026-05-12 07:49:04] #1813/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 07:49:07] #1814/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 07:49:18] #1815/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.977 conf=0.700 gap=0.500
[2026-05-12 07:49:33] #1816/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-12 07:49:47] #1817/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.020 conf=0.720 gap=0.600
[2026-05-12 07:50:27] #1820/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.130 conf=0.650 gap=0.450
[2026-05-12 07:50:43] #1821/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 07:51:19] #1823/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.599 conf=0.450 gap=0.250
[2026-05-12 07:51:34] #1825/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.998 conf=0.620 gap=0.320
[2026-05-12 07:52:14] #1828/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.201 conf=0.600 gap=0.450
[2026-05-12 07:52:37] #1829/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 07:53:08] #1832/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:53:12] #1833/02770 | true=shuffle | pred=shuffle | ✓ | ent=2.033 conf=0.150 gap=0.000
[2026-05-12 07:54:38] #1837/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:57:14] #1842/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:57:20] #1843/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.331 conf=0.450 gap=0.150
[2026-05-12 07:57:34] #1844/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:57:40] #1845/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.175 conf=0.450 gap=0.050
[2026-05-12 07:58:05] #1846/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 07:58:27] #1847/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.770 conf=0.820 gap=0.740
[2026-05-12 07:58:30] #1848/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 07:59:59] #1853/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.414 conf=0.400 gap=0.050
[2026-05-12 08:00:14] #1854/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:00:37] #1855/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 08:00:54] #1856/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:01:15] #1857/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 08:01:58] #1859/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 08:02:46] #1861/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:03:00] #1862/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 08:04:07] #1867/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:05:13] #1871/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:05:37] #1873/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:06:33] #1874/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 08:08:20] #1879/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 08:08:31] #1880/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 08:08:34] #1881/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.055 conf=0.400 gap=0.000
[2026-05-12 08:08:51] #1882/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 08:09:05] #1883/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.051 conf=0.650 gap=0.450
[2026-05-12 08:11:47] #1890/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 08:11:51] #1891/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.474 conf=0.350 gap=0.050
[2026-05-12 08:12:26] #1893/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 08:13:39] #1896/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.868 conf=0.700 gap=0.470
[2026-05-12 08:13:51] #1897/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:14:28] #1901/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.539 conf=0.450 gap=0.300
[2026-05-12 08:14:34] #1902/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:15:01] #1904/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:15:03] #1905/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:15:48] #1907/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 08:16:05] #1909/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:16:17] #1911/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.096 conf=0.350 gap=0.000
[2026-05-12 08:16:39] #1912/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.950 conf=0.720 gap=0.540
[2026-05-12 08:16:53] #1913/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-12 08:17:18] #1915/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:18:34] #1918/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 08:20:53] #1922/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.180 conf=0.680 gap=0.580
[2026-05-12 08:21:40] #1924/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:22:06] #1926/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 08:22:12] #1927/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:22:44] #1929/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.304 conf=0.350 gap=0.000
[2026-05-12 08:23:48] #1932/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.096 conf=0.350 gap=0.000
[2026-05-12 08:24:29] #1934/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 08:24:37] #1935/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 08:25:32] #1936/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 08:25:51] #1937/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.211 conf=0.650 gap=0.500
[2026-05-12 08:27:07] #1939/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:27:14] #1940/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:27:24] #1941/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.194 conf=0.400 gap=0.000
[2026-05-12 08:27:28] #1942/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:28:43] #1945/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 08:28:51] #1946/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:29:05] #1947/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.472 conf=0.500 gap=0.350
[2026-05-12 08:29:15] #1948/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 08:29:23] #1949/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.010 conf=0.450 gap=0.050
[2026-05-12 08:30:26] #1953/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:30:44] #1954/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 08:30:57] #1956/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:31:22] #1957/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 08:32:28] #1961/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.986 conf=0.480 gap=0.020
[2026-05-12 08:33:14] #1964/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:34:25] #1968/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 08:36:03] #1973/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 08:36:13] #1974/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:36:59] #1976/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:37:04] #1977/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:37:11] #1978/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 08:38:36] #1982/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:38:39] #1983/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
