[2026-05-12 10:27:49] PAMAP2 class 2 (standing) start T=0.8
[2026-05-12 10:27:49]   1989 windows
[2026-05-12 10:28:04] #0001/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 11:40:19] #0207/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:40:44] #0208/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:40:56] #0209/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 11:41:22] #0210/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:41:35] #0211/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:41:58] #0212/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 11:42:20] #0213/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:42:24] #0214/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 11:42:34] #0215/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 11:42:45] #0216/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:43:10] #0217/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:43:34] #0218/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.327 conf=0.450 gap=0.200
[2026-05-12 11:44:03] #0219/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 11:44:29] #0220/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.116 conf=0.420 gap=0.020
[2026-05-12 11:44:29]   [220/1989] acc=170/220=77% filt=214
[2026-05-12 11:44:40] #0221/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 11:44:51] #0222/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:45:00] #0223/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 11:45:13] #0224/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:45:49] #0225/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:46:14] #0226/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 11:46:54] #0227/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.463 conf=0.900 gap=0.870
[2026-05-12 11:47:07] #0228/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 11:48:06] #0229/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.022 conf=0.550 gap=0.200
[2026-05-12 11:48:13] #0230/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 11:49:31] #0231/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:49:51] #0232/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 11:50:00] #0233/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.051 conf=0.650 gap=0.450
[2026-05-12 11:50:11] #0234/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 11:50:14] #0235/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 11:50:27] #0236/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.800
[2026-05-12 11:50:55] #0237/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 11:51:07] #0238/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.269 conf=0.500 gap=0.250
[2026-05-12 11:51:35] #0239/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 11:51:42] #0240/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.604 conf=0.850 gap=0.780
[2026-05-12 11:51:42]   [240/1989] acc=187/240=78% filt=233
[2026-05-12 11:51:48] #0241/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 11:52:14] #0242/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 11:52:24] #0243/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 11:52:36] #0244/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 11:52:58] #0245/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:53:25] #0246/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:53:52] #0247/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:54:12] #0248/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.873 conf=0.730 gap=0.580
[2026-05-12 11:54:34] #0249/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.992 conf=0.600 gap=0.300
[2026-05-12 11:54:48] #0250/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.094 conf=0.600 gap=0.350
[2026-05-12 11:55:02] #0251/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:55:32] #0252/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.688 conf=0.800 gap=0.680
[2026-05-12 11:55:54] #0253/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:56:07] #0254/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:56:35] #0255/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:56:55] #0256/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:57:07] #0257/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 11:57:33] #0258/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:57:51] #0259/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 11:58:03] #0260/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.176 conf=0.500 gap=0.200
[2026-05-12 11:58:03]   [260/1989] acc=201/260=77% filt=252
[2026-05-12 11:58:24] #0261/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:58:36] #0262/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.722 conf=0.800 gap=0.680
[2026-05-12 11:58:46] #0263/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 11:59:30] #0264/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 11:59:41] #0265/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 11:59:52] #0266/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:00:17] #0267/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.070 conf=0.550 gap=0.230
[2026-05-12 12:00:38] #0268/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 12:01:11] #0269/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.786 conf=0.750 gap=0.570
[2026-05-12 12:01:23] #0270/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.156 conf=0.450 gap=0.050
[2026-05-12 12:02:09] #0271/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 12:02:47] #0272/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.016 conf=0.650 gap=0.450
[2026-05-12 12:02:57] #0273/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 12:03:44] #0274/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 12:03:53] #0275/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.666 conf=0.800 gap=0.650
[2026-05-12 12:04:05] #0276/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 12:04:42] #0277/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:05:17] #0278/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.117 conf=0.650 gap=0.530
[2026-05-12 12:05:39] #0279/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:05:56] #0280/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 12:05:56]   [280/1989] acc=210/280=75% filt=271
[2026-05-12 12:06:08] #0281/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 12:06:21] #0282/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 12:07:20] #0283/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 12:07:41] #0284/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.975 conf=0.700 gap=0.550
[2026-05-12 12:08:12] #0285/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 12:08:23] #0286/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 12:09:03] #0287/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 12:09:13] #0288/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:09:27] #0289/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 12:09:40] #0290/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:09:49] #0291/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 12:10:02] #0292/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 12:10:42] #0293/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:11:17] #0294/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 12:11:35] #0295/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.530 conf=0.880 gap=0.840
[2026-05-12 12:11:46] #0296/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 12:12:15] #0297/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 12:12:27] #0298/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:12:36] #0299/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.551 conf=0.870 gap=0.820
[2026-05-12 12:12:46] #0300/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 12:12:46]   [300/1989] acc=228/300=76% filt=291
[2026-05-12 12:12:51] #0301/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 12:13:28] #0302/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 12:13:38] #0303/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 12:13:49] #0304/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.743 conf=0.800 gap=0.700
[2026-05-12 12:14:01] #0305/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 12:14:27] #0306/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 12:14:56] #0307/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.236 conf=0.450 gap=0.100
[2026-05-12 12:15:09] #0308/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 12:15:14] #0309/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 12:15:26] #0310/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 12:15:44] #0311/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 12:16:06] #0312/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.143 conf=0.550 gap=0.300
[2026-05-12 12:16:34] #0313/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 12:17:01] #0314/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 12:17:10] #0315/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.667 conf=0.820 gap=0.720
[2026-05-12 12:17:34] #0316/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:17:43] #0317/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.070 conf=0.550 gap=0.230
[2026-05-12 12:17:53] #0318/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.083 conf=0.600 gap=0.350
[2026-05-12 12:18:31] #0319/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 12:19:29] #0320/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 12:19:29]   [320/1989] acc=241/320=75% filt=310
[2026-05-12 12:19:40] #0321/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.750 conf=0.800 gap=0.720
[2026-05-12 12:20:06] #0322/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-12 12:20:36] #0323/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 12:20:49] #0324/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.722 conf=0.800 gap=0.680
[2026-05-12 12:21:00] #0325/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 12:21:26] #0326/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 12:21:37] #0327/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 12:21:44] #0328/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.750 conf=0.800 gap=0.720
[2026-05-12 12:22:16] #0329/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 12:22:47] #0330/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.887 conf=0.750 gap=0.650
[2026-05-12 12:23:08] #0331/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.010 conf=0.450 gap=0.050
[2026-05-12 12:23:45] #0332/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:24:03] #0333/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 12:24:27] #0334/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.498 conf=0.850 gap=0.730
[2026-05-12 12:24:54] #0335/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 12:25:11] #0336/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 12:25:36] #0337/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 12:26:06] #0338/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 12:26:18] #0339/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.989 conf=0.700 gap=0.580
[2026-05-12 12:26:30] #0340/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 12:26:30]   [340/1989] acc=254/340=75% filt=329
[2026-05-12 12:26:40] #0341/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.635 conf=0.800 gap=0.680
[2026-05-12 12:27:18] #0342/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.630 conf=0.820 gap=0.690
[2026-05-12 12:27:20] #0343/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:27:36] #0344/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:27:47] #0345/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:27:56] #0346/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 12:28:04] #0347/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:28:06] #0348/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 12:28:18] #0349/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:28:25] #0350/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 12:29:04] #0351/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.327 conf=0.450 gap=0.200
[2026-05-12 12:29:25] #0352/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.140 conf=0.450 gap=0.050
[2026-05-12 12:30:02] #0353/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:30:11] #0354/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:30:24] #0355/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 12:31:12] #0356/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.835 conf=0.750 gap=0.600
[2026-05-12 12:31:22] #0357/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 12:31:38] #0358/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 12:32:04] #0359/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 12:32:30] #0360/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.690 conf=0.820 gap=0.740
[2026-05-12 12:32:30]   [360/1989] acc=270/360=75% filt=347
[2026-05-12 12:32:33] #0361/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 12:33:31] #0362/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.673 conf=0.820 gap=0.720
[2026-05-12 12:33:59] #0363/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.231 conf=0.400 gap=0.050
[2026-05-12 12:34:13] #0364/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 12:34:22] #0365/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.667 conf=0.820 gap=0.720
[2026-05-12 12:34:48] #0366/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 12:34:58] #0367/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 12:35:09] #0368/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 12:35:23] #0369/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.604 conf=0.850 gap=0.780
[2026-05-12 12:35:35] #0370/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 12:35:47] #0371/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.835 conf=0.750 gap=0.600
[2026-05-12 12:36:04] #0372/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 12:37:06] #0373/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.530 conf=0.880 gap=0.840
[2026-05-12 12:37:16] #0374/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 12:37:29] #0375/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 12:37:48] #0376/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:37:58] #0377/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:38:08] #0378/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.630 conf=0.820 gap=0.690
[2026-05-12 12:38:24] #0379/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:38:49] #0380/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 12:38:49]   [380/1989] acc=286/380=75% filt=366
[2026-05-12 12:38:58] #0381/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 12:39:00] #0382/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 12:39:10] #0383/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 12:39:21] #0384/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:39:51] #0385/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:40:05] #0386/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.896 conf=0.700 gap=0.500
[2026-05-12 12:40:15] #0387/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:40:44] #0388/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 12:42:01] #0389/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.185 conf=0.550 gap=0.300
[2026-05-12 12:42:20] #0390/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 12:43:32] #0391/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.140 conf=0.450 gap=0.050
[2026-05-12 12:43:47] #0392/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.870 conf=0.550 gap=0.150
[2026-05-12 12:45:03] #0393/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 12:45:12] #0394/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.722 conf=0.800 gap=0.680
[2026-05-12 12:46:20] #0395/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.307 conf=0.940 gap=0.920
[2026-05-12 12:46:34] #0396/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:46:43] #0397/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
